Status,Furnished_status,neworold,type_of_building,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,price
Ready to Move,Semi-Furnished,Resale,Flat,2700,28.52293205,77.21456909,4,4,2,2,1,45000000
Ready to Move,,Resale,Flat,1515,28.58986171,77.40343376,3,3,3,,3,7500000
Ready to Move,Semi-Furnished,Resale,Flat,900,28.634758,77.04909515,2,2,,,,7100000
Ready to Move,,Resale,Flat,1135,28.58731051,77.39590178,2,2,1,,,7000000
Ready to Move,Semi-Furnished,Resale,Flat,1500,28.61413193,77.36986542,3,3,1,1,2,8000000
Ready to Move,,Resale,Flat,5000,28.526555,77.363882,5,6,4,2,,60000000
Ready to Move,,Resale,Flat,1470,28.579593,77.445197,3,2,3,,2,5450000
Ready to Move,Semi-Furnished,Resale,Flat,2700,28.34468651,77.32616425,4,4,2,3,1,22000000
Ready to Move,,Resale,Flat,2275,28.493247,77.408015,3,4,5,1,3,15000000
Ready to Move,Unfurnished,Resale,Flat,1475,28.43244553,77.50791931,3,3,3,1,2,4900000
,Semi-Furnished,Resale,Flat,1837,28.409389,76.951659,3,3,2,1,,12800000
Ready to Move,Unfurnished,Resale,Flat,2400,28.63474083,77.04914856,4,2,3,,,18000000
Ready to Move,,Resale,Flat,1950,28.509118,77.413416,4,3,4,,,9000000
Ready to Move,,Resale,Flat,1935,28.660121,77.379704,3,4,3,,,14500000
Ready to Move,Furnished,Resale,Flat,2400,28.53547478,77.14489746,3,3,3,2,0,32500000
Ready to Move,Semi-Furnished,Resale,Flat,2430,28.49748039,77.02710724,3,3,2,1,1,26000000
Ready to Move,,Resale,Flat,995,28.575883,77.38535896,2,2,3,1,2,5900000
Ready to Move,Unfurnished,Resale,Flat,1000,28.4975071,77.02711487,3,3,2,,,4800000
Ready to Move,,Resale,Flat,1983,28.35895365,76.971587,3,3,5,2,2,12000000
Ready to Move,,Resale,Individual House,1295,28.54291259,77.37203149,2,2,2,1,,7800000
Ready to Move,,Resale,Flat,1820,28.6761798,77.39628201,3,3,3,2,1,7000000
Ready to Move,Semi-Furnished,Resale,Flat,800,28.687614,77.351924,2,2,,1,,3500000
Ready to Move,,Resale,Flat,1895,28.508273,77.40897616,3,3,,,,10800000
Ready to Move,Furnished,Resale,Individual House,1000,28.60172462,77.31781006,2,2,2,1,,9200000
Ready to Move,Unfurnished,New Property,Flat,1800,28.63609123,77.43346405,3,3,1,1,1,10000000
Ready to Move,,Resale,Flat,1487,28.40652341,77.34299342,3,2,3,,,4800000
Ready to Move,,Resale,Flat,2400,28.397099,77.086716,3,3,2,2,1,17500000
Ready to Move,Furnished,Resale,Flat,2300,28.45518494,77.08667755,3,3,3,1,,13500000
Ready to Move,,Resale,Flat,1545,28.47346783,77.5053686,3,3,,,,8500000
Ready to Move,Unfurnished,Resale,Flat,1000,28.49679565,77.22851563,2,2,1,,,4500000
Ready to Move,Semi-Furnished,Resale,Flat,2300,28.4287815,77.0661409,3,3,,1,2,15800000
,Furnished,Resale,Individual House,1829,28.564027,77.1945069,3,3,,,,32500000
,Furnished,Resale,Flat,1362,28.650108,77.363755,3,3,4,1,2,6900000
Ready to Move,,Resale,Flat,1380,28.646286,77.406051,3,2,4,,3,9000000
Ready to Move,Semi-Furnished,Resale,Flat,560,28.49760246,77.02706909,2,2,1,1,,2500000
Ready to Move,,Resale,Flat,3000,28.469204,77.511335,4,4,,,,29500000
Ready to Move,,Resale,Individual House,900,28.738864,77.263605,2,2,1,,0,2200000
Ready to Move,,Resale,Flat,2050,28.44359908,77.07986181,3,4,4,,,14800000
Ready to Move,Semi-Furnished,Resale,Flat,4600,28.41247483,77.039877,5,6,2,,,47500000
Ready to Move,Semi-Furnished,Resale,Flat,1775,28.68659592,77.37294769,3,3,3,2,2,9500000
